Muni. de Lima,@MuniLima
Amazonas,@GobRegAmazonas
Áncash,@RegionAncash
Apurímac,@regionapurimac
Arequipa,@grarequipa
Ayacucho,@prensa_gra
Cajamarca,@regioncajamarca
Callao,@gobregcallao
Region Callao,@callaoregion
Cusco,@regioncusco
Huancavelica,@grHuancavelica
Huánuco,@Gobiernohuanuco
Ica,@GoreIca
Junín,@REGIONJUNIN
La Libertad,@GRLaLibertad
Lambayeque,@gr_lambayeque
Loreto,@regionloreto
Madre de Dios,No se ha encontrado
San Martín,No se ha encontrado
Tumbes,No se ha encontrado
Moquegua,@regionmoquegua
Pasco,@regionpasco1
Piura,@RegionPiura
Puno,@GOBREGIONPUNO
Tacna,@RegionTacna
Ucayali,@Regionucayali
Municipalidad Provincial de Arequipa,@muniarequipa
Municipalidad Provincial de Arequipa,@muniarequiparet
Municipalidad Provincial de Santa,@Munisanta
Municipalidad Provincial de Cajamarca,@municaj 
Municipalidad Provincial de Chachapoyas,@munichachapoyas
Municipalidad Provincial de Abancay,
Municipalidad Provincial de Huamanga,@munihuamanga
Municipalidad Provincial del Callao,@municallao
Municipalidad Provincial del Cusco,@municusco
Municipalidad Provincial de Huancavelica,@mphuancavelica
Municipalidad Provincial de Huánuco,@MuniHuanuco
Municipalidad Provincial de Huancayo,@munihuancayo
Municipalidad Provincial de Trujillo,
Municipalidad Provincial de Chiclayo,@munichiclayo 
